,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
179,6,Sobha Insignia,Bhoganhalli,SOBHA Ltd.,Possession in 2026, 11.7 Lac - 41 Lac                                                             , 1.90 Cr - 2.23 Cr                                                             ,1200 - 4200 sqft,2403  sqft,6.0
180,7,Odion Woods By The Lake,Sarjapur Road,Odion Builders,Possession in 2023, 2.19 Cr - 2.65 Cr                                                             , 24 Lac - 96 Lac                                                             ,2617 - 2750 sqft,2259 - 2681 sqft,2.0
181,8,Needs 3 project 168,Horamavu,DS &amp; JAKS Constructions,Possession in 2025, 57 Lac - 81 Lac                                                             , 89 Lac - 1.06 Cr                                                             ,646 - 1150 sqft,601 - 2400 sqft,10.0
182,9,Laasya Canopus,Bommanahalli,Laasya Projects Pvt. Ltd.,Possession in 2024, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,5.0
183,10,SNR Brienz,Attibele,SNR Homes,Possession in 2025, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,9.0
184,11,Anugraha SR Serenity,Soukya Road,Anugraha Properties,Possession in 2026, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,10.0
185,12,BSNL Urban Greens,Devanahalli,Bluebell Global Shelters,Possession in 2023, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,5.0
186,13,SBR Earth and Sky,Whitefield,SBR Group,Possession in 2024, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,2.0
187,14,Pride Vatika Phase 2,Bannerghatta Main Road,Pride Group,Possession in 2026, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,3.0
188,15,Casagrand Hazen,Gottigere,Casagrand Builder Pvt. Ltd.,Possession in 2026, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,0.0
189,16,Brigade Horizon,Mysore Road,Brigade Enterprises Ltd.,Possession in 2024, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft,1.0
190,0,Kumari Nautilus,Koralur,Kumari Infra Homes Private Limited,Possession in 2028, 2.09 Cr - 2.79 Cr                                                             , 73 Lac                                                             ,686 - 699 sqft,2487 - 3314 sqft,1.0
