,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,North Woods,Chikkaballapur,Living Structures,Possession in 2023, 18 Lac - 84 Lac                                                             , 64 Lac - 69 Lac                                                             ,640 - 980 sqft,720 - 3360 sqft
1,Adarsh Tropica,Choodasandra,Adarsh Group,Possession in 2027, 80 Lac - 94 Lac                                                             , 95 Lac - 1.45 Cr                                                             ,1200 - 2045 sqft,976  sqft
2,Casagrand Meridian,Bhattarahalli,Casagrand Builder Pvt. Ltd.,Possession in 2024, 1.17 Cr - 1.26 Cr                                                             , 87 Lac - 1.18 Cr                                                             ,1034 - 1272 sqft,788 - 805 sqft
3,SNN Raj Bay Vista,Kodichikkanahalli Main Road,SNN Arjun Builders LLP,Possession in 2028, 1.03 Cr - 1.71 Cr                                                             , 1.76 Cr                                                             ,2123  sqft,1242 - 1763 sqft
4,Ma Sarada Upavan,Bommasandra,Ma Sarada Constructions,Possession in 2024, 3 Cr - 3.05 Cr                                                             , 3.50 Cr                                                             ,2500  sqft,2000 - 2025 sqft
5,Govianu Sangam,Yelahanka,Govianu Wealth Management Pvt Ltd,Possession in 2023, 3.83 Cr - 3.84 Cr                                                             , 5.20 Cr - 5.21 Cr                                                             ,3745 - 3746 sqft,2762 - 2770 sqft
6,Happy Village,Sarjapur Road,Cleartitle Properties,Possession in 2027, 4.08 Cr - 4.25 Cr                                                             , 62 Lac - 64 Lac                                                             ,1032 - 1068 sqft,3891 - 3893 sqft
7,Purva Zenium 2,Kempegowda International Airport Road,Puravankara Ltd.,Possession in 2025, 75 Lac - 81 Lac                                                             , 60 Lac                                                             ,750  sqft,1248 - 1338 sqft
8,GM Govianu,Seshadripuram,Govianu Wealth Management Pvt Ltd,Possession in 2027, 78.8 Lac - 90.7 Lac                                                             , 1.05 Cr - 1.24 Cr                                                             ,959 - 1087 sqft,766 - 7881 sqft
9,Puravankara Purva Meraki,Hsr Layout,Puravankara Ltd.,Possession in 2024, 75 Lac                                                             , 92.5 Lac                                                             ,1525  sqft,1265  sqft
10,SNN Raj Viviente,Bannerghatta Main Road,SNN Raj Corp,Possession in 2024,,,,
11,Bhavisha Bentley Goldberg Phase II,Sarjapur Road,Bhavisha Properties,Possession in 2027,,,,
12,Sowparnika Olivia Nest,Anekal,Sowparnika Projects &amp; Infrastructure Pvt. Ltd.,Possession in 2025,,,,
13,DSR Green Waters,Varthur,DSR Group,Possession in 2024,,,,
14,Vijaya Luxo,RR Nagar,Vijaya Enterprises,Possession in 2025,,,,
15,Brigade Oasis,Devanahalli,Brigade Enterprises Ltd.,Possession in 2026,,,,
