"MyUnknownColumn";"MyUnknownColumn_[0]";"Project_name";"Area_In_City";"Developer";"Possesion_Details";"3BHK_Carpet";"2BHK_Carpet";"Ratings";"2BHK_Prices";"3BHK_Prices"
36;0;"Balaji Park";"Ambale Gaon";"Gurukrupa Developers";"Possession in 2023";"939 - 1244 sqft";"796 - 888 sqft";6.0;7750000.0;9300000.0
37;1;"Sai Empire G";"Wadmukhwadi";"Sai Angan Projects LLP";"Possession in 2023";"1140 - 1155 sqft";"881 - 950 sqft";2.0;8800000.0;11400000.0
38;2;"Asmita Swapnapurti ";"Jalochi";"Asmita Enterprises  ";"Possession in 2026";"1066 - 1471 sqft";"762 - 1067 sqft";10.0;8600000.0;12800000.0
39;3;"P G Ira Enclave";"Hadapsar";"Reehe Valley Enterprises";"Possession in 2024";"838 - 860 sqft";"1793  sqft";9.0;21200000.0;8000000.0
40;4;"Vismaya";"Khamboli";"SIDDHI DEVELOPERS";"Possession in 2024";"675  sqft";"1213 - 1225 sqft";0.0;12400000.0;7100000.0
41;5;"Siddhi Nakshatra";"Chakan";"Kohinoor Group";"Possession in 2028";"850 - 1050 sqft";"750 - 786 sqft";4.0;5550000.0;7500000.0
42;6;"Kohinoor Westview Reserve";"Punawale, Pimpri Chinchwad";"Bivega Realty";"Possession in 2025";"1074  sqft";"743 - 824 sqft";10.0;8000000.0;8700000.0
43;7;"The Silver Altair";"Ravet, Pimpri Chinchwad";"VTP Realty";"Possession in 2027";"1074  sqft";"743 - 824 sqft";6.0;8000000.0;8700000.0
44;8;"Flamante By VTP Luxe Phase 1";"Kharadi";"Nyati Group";"Possession in 2026";"1074  sqft";"743 - 824 sqft";8.0;8000000.0;8700000.0
45;9;"NYATI EQUINOX";"Bavdhan";"Ravima Ventures";"Possession in 2024";"1074  sqft";"743 - 824 sqft";5.0;8000000.0;8700000.0
46;10;"Newton Homes Hadapsar Phase III";"Hadapsar";"Bramha Realty &amp; Infrastructure";"Possession in 2026";"1074  sqft";"743 - 824 sqft";1.0;8000000.0;8700000.0
47;11;"Bramha SkyCity";"Dhanori";"R R Lunkad Landmarks LLP &amp; Nemichand Bhandari Associates";"Possession in 2024";"1074  sqft";"743 - 824 sqft";5.0;8000000.0;8700000.0
48;12;"RR Lunkad 66 Avenue";"Pimple Nilakh, Pimpri Chinchwad";"Kolte Patil Developers Ltd.";"Possession in 2025";"1074  sqft";"743 - 824 sqft";4.0;8000000.0;8700000.0
49;0;"Alpine Astonia";"Kiwale, Dehu Road";"Alpine Landmarks LLP";"Possession in 2025";"971  sqft";"715  sqft";7.0;5400000.0;6630000.0
50;1;"Vertillas";"Kharadi";"Spectrum Properties";"Possession in 2024";"1555 - 1560 sqft";"1112 - 1171 sqft";2.0;11500000.0;17000000.0
51;2;"Conclave";"Shivajinagar";"Veda Ventures";"Possession in 2024";"770  sqft";"476 - 750 sqft";4.0;10700000.0;6300000.0
52;3;"The Cove";"Bhugaon, Bavdhan";"Paranjape Schemes Construction Ltd.";"Possession in 2028";"930 - 1172 sqft";"709 - 809 sqft";4.0;6300000.0;8690000.0
53;4;"ALOHA";"Wakad";"Rohit Infra";"Possession in 2023";"661 - 712 sqft";"542 - 772 sqft";8.0;4520000.0;8900000.0
54;5;"Puneville";"Punawale, Pimpri Chinchwad";"Pharande Spaces";"Possession in 2029";"805 - 833 sqft";"996 - 1140 sqft";7.0;13000000.0;7200000.0
55;6;"Ganesh Siddhi Phase 3";"Chikhali Pimpri Chinchwad";"SB Patil Group";"Possession in 2026";"1659  sqft";"1056 - 1196 sqft";0.0;9800000.0;15500000.0
56;7;"Legacy Kairos";"Rahatani";"Legacy Lifespaces LLP";"Possession in 2027";"818 - 992 sqft";"2300  sqft";1.0;22500000.0;6920000.0
57;8;"LODHA Pune NIBM Project";"NIBM Road";"Lodha Group";"Possession in 2023";"1112 - 1199 sqft";"980 - 1200 sqft";1.0;8170000.0;18700000.0
58;9;"Parvatara Phase 2";"Kiwale, Dehu Road";"Saakshi Constructions Pvt. Ltd.";"Possession in 2027";"836 - 850 sqft";"1400  sqft";1.0;14500000.0;6900000.0
59;10;"Avaneesh";"Nigdi, Pimpri Chinchwad";"KLS Constructions";"Possession in 2026";"690 - 802 sqft";"1060 - 1176 sqft";1.0;8900000.0;4990000.0
60;11;"The PWC Towers";"Bhugaon, Bavdhan";"SKYi Developers";"Possession in 2026";"952  sqft";"623 - 809 sqft";2.0;5300000.0;8490000.0
61;12;"Life Republic Aros";"Hinjawadi";"Kolte Patil Developers Ltd.";"Possession in 2026";"500 - 650 sqft";"681  sqft";1.0;5740000.0;6500000.0
62;13;"Laxmi Emerald";"Lohegaon";"Laxmi Group";"Possession in 2026";"500 - 650 sqft";"681  sqft";1.0;5740000.0;6500000.0
63;14;"Vaanya";"Moshi";"Pharande Spaces";"Possession in 2026";"500 - 650 sqft";"681  sqft";0.0;5740000.0;6500000.0
64;15;"Ganesh Siddhi Phase 2";"Chikhali Pimpri Chinchwad";"SB Patil Group";"Possession in 2026";"500 - 650 sqft";"681  sqft";9.0;5740000.0;6500000.0
65;16;"Bramhacorp August Towers";"Wadgaon Sheri";"Bramhacorp Ltd.";"Possession in 2028";"500 - 650 sqft";"681  sqft";4.0;5740000.0;6500000.0
66;17;"Intercontinental Swapna Nagari";"Chakan";"Intercontinental Infrastructure Ltd";"Possession in 2026";"500 - 650 sqft";"681  sqft";3.0;5740000.0;6500000.0
67;18;"HS Privitude";"Punawale, Pimpri Chinchwad";"HS Group";"Possession in 2025";"500 - 650 sqft";"681  sqft";5.0;5740000.0;6500000.0
68;19;"Kumar Parth Tower";"Baner";"Kumar Properties";"Possession in 2025";"500 - 650 sqft";"681  sqft";6.0;5740000.0;6500000.0
69;0;"Prestige Elm Park";"Channasandra";"Prestige Estates Projects Ltd.";"Possession in 2026";"1561 - 2004 sqft";"1120 - 1600 sqft";5.0;17000000.0;22000000.0
70;1;"Soulspring Phase 1";"Hsr Layout";"Svamitva Group";"Possession in 2027";"1617 - 2200 sqft";"1155 - 1700 sqft";1.0;19000000.0;25800000.0
71;2;"Earthen Ambience";"Sarjapura Attibele Road";"Evantha Developers";"Possession in 2025";"2200 - 2690 sqft";"2100 - 2357 sqft";7.0;17000000.0;20600000.0
72;3;"Sobha Galera";"Huskur";"SOBHA Ltd.";"Possession in 2026";"1181 - 2400 sqft";"3009  sqft";7.0;6060000.0;1710000.0
73;4;"Definer Upper Deck";"Budigere Cross";"Definer Group";"Possession in 2025";"900 - 2400 sqft";"600 - 2000 sqft";8.0;3420000.0;1200000.0
74;5;"Canterbury Orchards 2";"Nandi Hills";"Vishuddh Properties";"Possession in 2025";"1654 - 3254 sqft";"1200 - 1500 sqft";4.0;26900000.0;34500000.0
75;6;"MJR Opus";"Sarjapur Road";"MJR Builders Pvt. Ltd.";"Possession in 2024";"750 - 940 sqft";"1806 - 4220 sqft";1.0;7200000.0;8100000.0
76;7;"Vaishnavi Jasmine";"Kanakapura Road";"Vaishnavi Developers";"Possession in 2024";"872 - 990 sqft";"1047 - 1340 sqft";1.0;6450000.0;9390000.0
77;8;"Sky Line Boulevard";"Devanahalli";"Maharshi Developers";"Possession in 2024";"1724  sqft";"1226 - 1688 sqft";1.0;17000000.0;15900000.0
78;9;"MR Hill View Garden";"Hoskote Chintamani Road";"Annapurna Max Properties OPC Pvt. Ltd.";"Possession in 2024";"3421 - 3441 sqft";"2300  sqft";7.0;30000000.0;37000000.0
79;10;"Soulace By Modern Spaaces";"Sarjapur Road";"Modern Spaaces";"Possession in 2025";"2108 - 2200 sqft";"2413 - 2500 sqft";8.0;21800000.0;1320000.0
80;11;"Abhee Kings Court";"Sarjapur Road";"Abhee Ventures Pvt. Ltd.";"Possession in 2024";"2108 - 2200 sqft";"2413 - 2500 sqft";8.0;21800000.0;1320000.0
81;12;"Casagrand Keatsway";"Geddalahalli, HBR layout";"Casagrand Builder Pvt. Ltd.";"Possession in 2026";"2108 - 2200 sqft";"2413 - 2500 sqft";4.0;21800000.0;1320000.0
82;13;"Golden Pearl Phase 2";"Sarjapura";"Global Developers";"Possession in 2024";"2108 - 2200 sqft";"2413 - 2500 sqft";0.0;21800000.0;1320000.0
83;14;"Sobha Oakshire";"Devanahalli";"SOBHA Ltd.";"Possession in 2025";"2108 - 2200 sqft";"2413 - 2500 sqft";5.0;21800000.0;1320000.0
84;15;"Gravity Aranya";"Stage 6th Banashankari";"Gravity Homes";"Possession in 2025";"2108 - 2200 sqft";"2413 - 2500 sqft";5.0;21800000.0;1320000.0
85;16;"Gnana Kuteera Phase II";"Devanahalli";"Karnataka State Teachers Employees Welfare Housing Co Operative Society";"Possession in 2024";"2108 - 2200 sqft";"2413 - 2500 sqft";3.0;21800000.0;1320000.0
86;0;"Mana Verdant";"Jakkur Road";"Mana Projects Pvt. Ltd.";"Possession in 2027";"1008 - 1600 sqft";"739 - 1240 sqft";3.0;8580000.0;10000000.0
87;1;"Hara North One";"Devanahalli";"Ameliorate Realtors Private Limited";"Possession in 2024";"1395 - 1680 sqft";"1023 - 1329 sqft";0.0;4190000.0;5720000.0
88;2;"Inspira Petals";"Wilson Garden";"Inspira Builders";"Possession in 2024";"1895 - 2615 sqft";"1720 - 1730 sqft";8.0;21400000.0;24500000.0
89;3;"SS Brindavanam";"Sarjapur Road";"SS Builders and Developers";"Possession in 2024";"1416 - 1981 sqft";"1200 - 1294 sqft";7.0;12200000.0;15000000.0
90;4;"Folium By Sumadhura Phase 2";"Whitefield";"Sumadhura Infracon Pvt. Ltd.";"Possession in 2025";"1249 - 1370 sqft";"2717  sqft";4.0;23000000.0;6490000.0
91;5;"Prestige Lavender Fields";"Varthur";"Prestige Estates Projects Ltd.";"Possession in 2026";"2136 - 2483 sqft";"1339 - 1504 sqft";9.0;6960000.0;16100000.0
92;6;"AURA";"Sarjapur Road";"SKR Builders and Developers";"Possession in 2024";"3647 - 3680 sqft";"1500 - 2300 sqft";4.0;9000000.0;34400000.0
93;7;"Sowparnika Life On The Green";"Attibele";"Sowparnika Projects &amp; Infrastructure Pvt. Ltd.";"Possession in 2025";"1105 - 1150 sqft";"4846 - 4851 sqft";7.0;46900000.0;5970000.0
94;8;"Vishuddh Prakruthi";"Kanakapura Road";"Vishuddh Properties";"Possession in 2024";"950 - 957 sqft";"1285 - 1410 sqft";3.0;6940000.0;6500000.0
95;9;"SKAV Grande";"Whitefield";"SKAV Developers Pvt. Ltd.";"Possession in 2027";"1298  sqft";"1434 - 1633 sqft";9.0;18500000.0;19900000.0
96;10;"Abhee Pride";"Chandapura";"Abhee Ventures Pvt. Ltd.";"Possession in 2024";"1940  sqft";"1387 - 2050 sqft";9.0;21300000.0;27500000.0
97;11;"Canterbury Orchards 1";"Nandi Hills";"Vishuddh Properties";"Possession in 2024";"2010 - 2110 sqft";"2370  sqft";6.0;33600000.0;12100000.0
98;12;"Purva Bluebelle";"Magadi Main Road";"Puravankara Ltd.";"Possession in 2027";"1377  sqft";"2310 - 2370 sqft";10.0;13800000.0;10100000.0
99;13;"Godrej Athena";"Indiranagar";"Godrej Properties";"Possession in 2027";"990  sqft";"1846  sqft";1.0;13600000.0;6600000.0
100;14;"Shriram Esquire";"Koramangala";"Shriram Properties";"Possession in 2027";"990  sqft";"1846  sqft";8.0;13600000.0;6600000.0
101;15;"Nivara Viento";"Doddaballapur Main Road";"Nivara Group";"Possession in 2024";"990  sqft";"1846  sqft";3.0;13600000.0;6600000.0
