,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Century Wintersun,Yelahanka,Century Real Estate,Possession in 2025, 2.80 Cr - 2.96 Cr                                                             , 16.8 Lac - 27 Lac                                                             ,1200 - 1927 sqft,2800 - 3300 sqft
1,BSNL Sirigandha Elite,Devanahalli,BSNL Employees And Citizen House Building Co Operative Society Ltd,Possession in 2026, 26.8 Lac - 93.8 Lac                                                             , 22 Lac - 65 Lac                                                             ,600 - 1800 sqft,892 - 3126 sqft
2,Manyata Midlands,Anekal,Manyata Developers Pvt Ltd,Possession in 2027, 1.15 Cr - 1.40 Cr                                                             , 1.40 Cr - 1.60 Cr                                                             ,2166  sqft,1238  sqft
3,Lavender Meadows,Sarjapura,Terrafem Group LLP,Possession in 2026, 1.62 Cr - 1.66 Cr                                                             , 2.37 Cr - 2.41 Cr                                                             ,2604 - 3022 sqft,1785 - 2034 sqft
4,Ruchira Park East,Kannamangala,Ruchira Projects Pvt. Ltd.,Possession in 2025, 51.9 Lac - 60.9 Lac                                                             , 69.2 Lac - 76.2 Lac                                                             ,1373 - 1569 sqft,1039 - 1258 sqft
5,Mahidhara Harmony,Sarjapur Road,Mahidhara Projects Private Limited,Possession in 2024, 59.6 Lac                                                             , 1.25 Cr - 2 Cr                                                             ,995 - 1600 sqft,689  sqft
6,SLV Elanza,Thanisandra,SLV Infrastructures,Possession in 2027, 1.20 Cr - 2.47 Cr                                                             , 2 Cr - 2.35 Cr                                                             ,1585 - 1800 sqft,1017 - 1839 sqft
7,Sobha Sentosa,Panathur,SOBHA Ltd.,Possession in 2026, 76 Lac                                                             , 2.35 Cr                                                             ,1972  sqft,524 - 850 sqft
8,Assetz Bloom &amp; Dell,Whitefield,Assetz Property Group,Possession in 2027, 2.50 Cr - 3 Cr                                                             , 1.70 Cr                                                             ,1450  sqft,1900 - 2940 sqft
9,Prestige Primrose Hills Phase 2,Kanakapura Road,Prestige Estates Projects Ltd.,Possession in 2027,,,,
10,Radiance Gardenia,Hennur Main Road,Radiance Realty Developers India Ltd.,Possession in 2025,,,,
11,Geown Oasis Phase 3,Sarjapura,Geown Properties Pvt. Ltd.,Possession in 2024,,,,
12,Sanjeevini Srushti Srigandha,Whitefield,Sanjeevini Group,Possession in 2026,,,,
13,Mahaveer Camelia,Krishnarajapura,Mahaveer Group,Possession in 2023,,,,
14,Siddanth Aartisan,Kanakapura Road,SIDDANTH BUILDERS AND DEVELOPERS LLP,Possession in 2024,,,,
15,Shree Sri Rama Badavane ,Anekal,Shree Developers,Possession in 2025,,,,
