,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Gold Crest,Kandivali West,Shraddha Prime Projects LTD,Possession in 2027, 94 Lac - 96 Lac                                                             , 1.42 Cr                                                             ,598  sqft,406  sqft
1,Adityaraj Shivraj,Vikhroli East,Adityaraj Group,Possession in 2027, 69 Lac - 77 Lac                                                             , 1.10 Cr                                                             ,533  sqft,397 - 419 sqft
2,Adityaraj One,Vikhroli East,Adityaraj Group,Possession in 2026, 1.20 Cr                                                             , 59.9 Lac - 71.5 Lac                                                             ,341 - 512 sqft,610  sqft
3,Luxuria,Mira Road East,Vihang Group  &amp; Reyanshp Realty LLP,Possession in 2027, 92 Lac - 1.05 Cr                                                             , 1.25 Cr - 1.25 Cr                                                             ,467  sqft,620 - 645 sqft
4,Paranjape Aspire,Andheri West,Paranjape Schemes Construction Ltd.,Possession in 2027, 1.68 Cr - 1.68 Cr                                                             , 2.45 Cr - 2.45 Cr                                                             ,934  sqft,630  sqft
5,Shri Siddhivinayak By DEM,Kandivali West,DEM Infra,Possession in 2026, 1.45 Cr - 1.72 Cr                                                             , 2.50 Cr                                                             ,832  sqft,611 - 632 sqft
6,Sardar Inspire Residency,Andheri East,Sardar Realty,Possession in 2025, 1.10 Cr - 1.14 Cr                                                             , 1.51 Cr - 1.59 Cr                                                             ,571 - 578 sqft,418 - 428 sqft
7,DEM Phoenix,Malad East,DEM Infra,Possession in 2025, 67.2 Lac - 79.4 Lac                                                             , 1.09 Cr - 1.19 Cr                                                             ,520 - 570 sqft,320 - 378 sqft
8,Paranjape Athena,Bandra East,Paranjape Schemes Construction Ltd.,Possession in 2027, 2.54 Cr - 2.54 Cr                                                             , 3.48 Cr - 3.49 Cr                                                             ,854  sqft,616  sqft
9,Palkhi Mrda,Kandivali East,Palkhi Realty,Possession in 2026, 1.70 Cr - 1.73 Cr                                                             , 1.15 Cr - 1.29 Cr                                                             ,590 - 615 sqft,692 - 713 sqft
10,Veena Smart Homes,Kandivali West,Veena Developers,Possession in 2023, 1.14 Cr - 1.20 Cr                                                             , 1.69 Cr - 1.98 Cr                                                             ,691 - 699 sqft,415 - 424 sqft
11,Passcode Mumbai Wants To Know,Andheri East,Veena Developers,Possession in 2025, 2.10 Cr - 2.40 Cr                                                             , 4 Cr - 4.10 Cr                                                             ,890  sqft,879  sqft
12,Rustomjee Aden,Bandra East,Keysky Realtors Pvt Ltd,Possession in 2026,,,,
13,BLA Business Park ,Goregaon East,Elegant Builders and Developers,Possession in 2026,,,,
