,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Sri Krishna Kuttera,Devanahalli,Charigan Group,Possession in 2023, 65.4 Lac - 73 Lac                                                             , 77.6 Lac                                                             ,1358  sqft,1122 - 1271 sqft
1,KVG Aster,Horamavu,KVG Builders &amp; Developers,Possession in 2025, 24.6 Lac - 35.1 Lac                                                             , 35.4 Lac - 40.5 Lac                                                             ,822 - 942 sqft,572 - 817 sqft
2,Pride Sunrise Phase II,Jigani,Pride Group,Possession in 2025, 39 Lac - 48.4 Lac                                                             , 56 Lac - 62.3 Lac                                                             ,1246 - 1400 sqft,961 - 1061 sqft
3,ISR Udayam,Budigere Cross,ISR Constructions Pvt. Ltd.,Possession in 2025, 69.3 Lac - 87 Lac                                                             , 95 Lac - 1.13 Cr                                                             ,998 - 1350 sqft,780 - 1117 sqft
4,Inspira Tropical Garden,Electronic City,Inspira Builders,Possession in 2024, 63.6 Lac - 89 Lac                                                             , 90 Lac - 90.8 Lac                                                             ,714 - 900 sqft,700 - 1088 sqft
5,Macasa Emerald,Sarjapur Road,Mana Projects Pvt. Ltd.,Possession in 2026, 49 Lac - 53.4 Lac                                                             , 66.2 Lac - 77.7 Lac                                                             ,968 - 1200 sqft,716 - 900 sqft
6,GMC Aero Square,Devanahalli,Griha Mithra Constructions,Possession in 2025, 1.70 Cr - 1.92 Cr                                                             , 5 Cr - 8.12 Cr                                                             ,2896 - 4750 sqft,2395  sqft
7,Diamond Blossoms,Huskur,Prestige Group,Possession in 2025, 76.2 Lac - 96.1 Lac                                                             , 95.1 Lac - 1.33 Cr                                                             ,1265 - 1885 sqft,970 - 1420 sqft
8,Prestige Sanctuary,Devanahalli,Ranav Group,Possession in 2024, 1.56 Cr                                                             , 2.04 Cr                                                             ,2925  sqft,2100  sqft
9,Ranav Tranquil Haven,Soukya Road,Brigade Enterprises Ltd.,Possession in 2025, 2.45 Cr                                                             , 6.47 Cr - 6.48 Cr                                                             ,3500 - 3508 sqft,3276 - 3495 sqft
10,Ivory Phase 1 At Brigade Orchards,Devanahalli,Bright Wave Projects Pvt. Ltd.,Possession in 2024,,,,
11,Tulip,Chandapura,Address Maker,Possession in 2023,,,,
12,Classic Canaan,Devanahalli,KNS Infrastructure Pvt. Ltd.,Possession in 2023,,,,
13,KNS Atharva,Devanahalli,GKS Builders and Developers,Possession in 2024,,,,
14,GKS 1000 Woods,Chandapura,Mathapathi Construction,Possession in 2023,,,,
15,Mathapathi Grand Field,Gunjur,NR Greenwood Construction Pvt. Ltd.,Possession in 2023,,,,
16,Nr Rose Wood Estates,Kempegowda International Airport Road,Govianu Wealth Management Pvt Ltd,Possession in 2024,,,,
