,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Balaji Park,Ambale Gaon,Gurukrupa Developers,Possession in 2023, 77.5 Lac - 94.4 Lac                                                             , 93 Lac - 1.35 Cr                                                             ,939 - 1244 sqft,796 - 888 sqft
1,Sai Empire G,Wadmukhwadi,Sai Angan Projects LLP,Possession in 2023, 88 Lac - 93 Lac                                                             , 1.14 Cr - 1.30 Cr                                                             ,1140 - 1155 sqft,881 - 950 sqft
2,Asmita Swapnapurti ,Jalochi,Asmita Enterprises  ,Possession in 2026, 86 Lac - 1.32 Cr                                                             , 1.28 Cr - 1.78 Cr                                                             ,1066 - 1471 sqft,762 - 1067 sqft
3,P G Ira Enclave,Hadapsar,Reehe Valley Enterprises,Possession in 2024, 2.12 Cr - 2.20 Cr                                                             , 80 Lac - 83 Lac                                                             ,838 - 860 sqft,1793  sqft
4,Vismaya,Khamboli,SIDDHI DEVELOPERS,Possession in 2024, 1.24 Cr - 1.26 Cr                                                             , 71 Lac - 76.5 Lac                                                             ,675  sqft,1213 - 1225 sqft
5,Siddhi Nakshatra,Chakan,Kohinoor Group,Possession in 2028, 55.5 Lac - 70.1 Lac                                                             , 75 Lac - 85 Lac                                                             ,850 - 1050 sqft,750 - 786 sqft
6,Kohinoor Westview Reserve,"Punawale, Pimpri Chinchwad",Bivega Realty,Possession in 2025, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft
7,The Silver Altair,"Ravet, Pimpri Chinchwad",VTP Realty,Possession in 2027,,,,
8,Flamante By VTP Luxe Phase 1,Kharadi,Nyati Group,Possession in 2026,,,,
9,NYATI EQUINOX,Bavdhan,Ravima Ventures,Possession in 2024,,,,
10,Newton Homes Hadapsar Phase III,Hadapsar,Bramha Realty &amp; Infrastructure,Possession in 2026,,,,
11,Bramha SkyCity,Dhanori,R R Lunkad Landmarks LLP &amp; Nemichand Bhandari Associates,Possession in 2024,,,,
12,RR Lunkad 66 Avenue,"Pimple Nilakh, Pimpri Chinchwad",Kolte Patil Developers Ltd.,Possession in 2025,,,,
