,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Engrace by Modern Spaaces,Sarjapur Road,Modern Spaaces,Possession in 2024, 68.6 Lac - 70.2 Lac                                                             , 80.3 Lac - 1.09 Cr                                                             ,1530 - 2091 sqft,1307 - 1337 sqft
1,Adithi Elegance,Gunjur,Adithi Projects,Possession in 2024, 55 Lac                                                             , 80 Lac                                                             ,1009  sqft,802  sqft
2,Pavani Mirabilia,Whitefield,Pavani Group,Possession in 2025, 70 Lac - 92 Lac                                                             , 87.5 Lac - 1.57 Cr                                                             ,843 - 1570 sqft,664 - 7010 sqft
3,Trendsquares Ortus III,Hebbal,Trendsquares Constructions,Possession in 2024, 81.5 Lac - 90 Lac                                                             , 91.8 Lac - 1.50 Cr                                                             ,1000 - 1500 sqft,780 - 810 sqft
4,Sizzle Midtown,"Kaggadasapura, Indira nagar",Sizzle Properties,Possession in 2023, 1.03 Cr - 1.62 Cr                                                             , 1.05 Cr - 1.35 Cr                                                             ,880 - 1250 sqft,800 - 1200 sqft
5,Zen Indraprastha by Pratham,Yeswanthpur,Pratham Constructions,Possession in 2023, 1.50 Cr                                                             , 2.40 Cr - 2.51 Cr                                                             ,1922 - 2100 sqft,1120  sqft
6,Sobha Insignia,Bhoganhalli,SOBHA Ltd.,Possession in 2026, 11.7 Lac - 41 Lac                                                             , 1.90 Cr - 2.23 Cr                                                             ,1200 - 4200 sqft,2403  sqft
7,Odion Woods By The Lake,Sarjapur Road,Odion Builders,Possession in 2023, 2.19 Cr - 2.65 Cr                                                             , 24 Lac - 96 Lac                                                             ,2617 - 2750 sqft,2259 - 2681 sqft
8,Needs 3 project 168,Horamavu,DS &amp; JAKS Constructions,Possession in 2025, 57 Lac - 81 Lac                                                             , 89 Lac - 1.06 Cr                                                             ,646 - 1150 sqft,601 - 2400 sqft
9,Laasya Canopus,Bommanahalli,Laasya Projects Pvt. Ltd.,Possession in 2024, 65 Lac - 75 Lac                                                             , 95 Lac - 1 Cr                                                             ,633 - 718 sqft,1100 - 1400 sqft
10,SNR Brienz,Attibele,SNR Homes,Possession in 2025,,,,
11,Anugraha SR Serenity,Soukya Road,Anugraha Properties,Possession in 2026,,,,
12,BSNL Urban Greens,Devanahalli,Bluebell Global Shelters,Possession in 2023,,,,
13,SBR Earth and Sky,Whitefield,SBR Group,Possession in 2024,,,,
14,Pride Vatika Phase 2,Bannerghatta Main Road,Pride Group,Possession in 2026,,,,
15,Casagrand Hazen,Gottigere,Casagrand Builder Pvt. Ltd.,Possession in 2026,,,,
16,Brigade Horizon,Mysore Road,Brigade Enterprises Ltd.,Possession in 2024,,,,
