,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Alpine Astonia,"Kiwale, Dehu Road",Alpine Landmarks LLP,Possession in 2025, 54 Lac                                                             , 66.3 Lac                                                             ,971  sqft,715  sqft
1,Vertillas,Kharadi,Spectrum Properties,Possession in 2024, 1.15 Cr - 1.47 Cr                                                             , 1.70 Cr - 2.20 Cr                                                             ,1555 - 1560 sqft,1112 - 1171 sqft
2,Conclave,Shivajinagar,Veda Ventures,Possession in 2024, 1.07 Cr - 1.69 Cr                                                             , 63 Lac                                                             ,770  sqft,476 - 750 sqft
3,The Cove,"Bhugaon, Bavdhan",Paranjape Schemes Construction Ltd.,Possession in 2028, 63 Lac - 75.9 Lac                                                             , 86.9 Lac - 1.09 Cr                                                             ,930 - 1172 sqft,709 - 809 sqft
4,ALOHA,Wakad,Rohit Infra,Possession in 2023, 45.2 Lac - 60.9 Lac                                                             , 89 Lac - 99 Lac                                                             ,661 - 712 sqft,542 - 772 sqft
5,Puneville,"Punawale, Pimpri Chinchwad",Pharande Spaces,Possession in 2029, 1.30 Cr - 1.45 Cr                                                             , 72 Lac - 75 Lac                                                             ,805 - 833 sqft,996 - 1140 sqft
6,Ganesh Siddhi Phase 3,Chikhali Pimpri Chinchwad,SB Patil Group,Possession in 2026, 98 Lac - 1.15 Cr                                                             , 1.55 Cr                                                             ,1659  sqft,1056 - 1196 sqft
7,Legacy Kairos,Rahatani,Legacy Lifespaces LLP,Possession in 2027, 2.25 Cr                                                             , 69.2 Lac - 82.7 Lac                                                             ,818 - 992 sqft,2300  sqft
8,LODHA Pune NIBM Project,NIBM Road,Lodha Group,Possession in 2023, 81.7 Lac - 98.8 Lac                                                             , 1.87 Cr - 1.90 Cr                                                             ,1112 - 1199 sqft,980 - 1200 sqft
9,Parvatara Phase 2,"Kiwale, Dehu Road",Saakshi Constructions Pvt. Ltd.,Possession in 2027, 1.45 Cr - 1.56 Cr                                                             , 69 Lac - 72 Lac                                                             ,836 - 850 sqft,1400  sqft
10,Avaneesh,"Nigdi, Pimpri Chinchwad",KLS Constructions,Possession in 2026, 89 Lac - 98 Lac                                                             , 49.9 Lac - 54 Lac                                                             ,690 - 802 sqft,1060 - 1176 sqft
11,The PWC Towers,"Bhugaon, Bavdhan",SKYi Developers,Possession in 2026, 53 Lac - 69.5 Lac                                                             , 84.9 Lac                                                             ,952  sqft,623 - 809 sqft
12,Life Republic Aros,Hinjawadi,Kolte Patil Developers Ltd.,Possession in 2026, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft
13,Laxmi Emerald,Lohegaon,Laxmi Group,Possession in 2026,,,,
14,Vaanya,Moshi,Pharande Spaces,Possession in 2026,,,,
15,Ganesh Siddhi Phase 2,Chikhali Pimpri Chinchwad,SB Patil Group,Possession in 2026,,,,
16,Bramhacorp August Towers,Wadgaon Sheri,Bramhacorp Ltd.,Possession in 2028,,,,
17,Intercontinental Swapna Nagari,Chakan,Intercontinental Infrastructure Ltd,Possession in 2026,,,,
18,HS Privitude,"Punawale, Pimpri Chinchwad",HS Group,Possession in 2025,,,,
19,Kumar Parth Tower,Baner,Kumar Properties,Possession in 2025,,,,
