,Project_name,Area_pune,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet
0,Mana Verdant,Jakkur Road,Mana Projects Pvt. Ltd.,Possession in 2027, 85.8 Lac - 1 Cr                                                             , 1 Cr - 1.50 Cr                                                             ,1008 - 1600 sqft,739 - 1240 sqft
1,Hara North One,Devanahalli,Ameliorate Realtors Private Limited,Possession in 2024, 41.9 Lac - 54.5 Lac                                                             , 57.2 Lac - 68.9 Lac                                                             ,1395 - 1680 sqft,1023 - 1329 sqft
2,Inspira Petals,Wilson Garden,Inspira Builders,Possession in 2024, 2.14 Cr - 2.15 Cr                                                             , 2.45 Cr - 3.39 Cr                                                             ,1895 - 2615 sqft,1720 - 1730 sqft
3,SS Brindavanam,Sarjapur Road,SS Builders and Developers,Possession in 2024, 1.22 Cr - 1.30 Cr                                                             , 1.50 Cr - 2.18 Cr                                                             ,1416 - 1981 sqft,1200 - 1294 sqft
4,Folium By Sumadhura Phase 2,Whitefield,Sumadhura Infracon Pvt. Ltd.,Possession in 2025, 2.30 Cr                                                             , 64.9 Lac - 71.2 Lac                                                             ,1249 - 1370 sqft,2717  sqft
5,Prestige Lavender Fields,Varthur,Prestige Estates Projects Ltd.,Possession in 2026, 69.6 Lac - 78.2 Lac                                                             , 1.61 Cr - 1.88 Cr                                                             ,2136 - 2483 sqft,1339 - 1504 sqft
6,AURA,Sarjapur Road,SKR Builders and Developers,Possession in 2024, 90 Lac - 1.38 Cr                                                             , 3.44 Cr - 3.45 Cr                                                             ,3647 - 3680 sqft,1500 - 2300 sqft
7,Sowparnika Life On The Green,Attibele,Sowparnika Projects &amp; Infrastructure Pvt. Ltd.,Possession in 2025, 4.69 Cr - 4.69 Cr                                                             , 59.7 Lac - 62.1 Lac                                                             ,1105 - 1150 sqft,4846 - 4851 sqft
8,Vishuddh Prakruthi,Kanakapura Road,Vishuddh Properties,Possession in 2024, 69.4 Lac - 76.1 Lac                                                             , 65 Lac - 70 Lac                                                             ,950 - 957 sqft,1285 - 1410 sqft
9,SKAV Grande,Whitefield,SKAV Developers Pvt. Ltd.,Possession in 2027, 1.85 Cr - 2.10 Cr                                                             , 1.99 Cr - 2.20 Cr                                                             ,1298  sqft,1434 - 1633 sqft
10,Abhee Pride,Chandapura,Abhee Ventures Pvt. Ltd.,Possession in 2024, 2.13 Cr - 2.98 Cr                                                             , 2.75 Cr - 3.12 Cr                                                             ,1940  sqft,1387 - 2050 sqft
11,Canterbury Orchards 1,Nandi Hills,Vishuddh Properties,Possession in 2024, 3.36 Cr - 3.70 Cr                                                             , 1.21 Cr - 1.40 Cr                                                             ,2010 - 2110 sqft,2370  sqft
12,Purva Bluebelle,Magadi Main Road,Puravankara Ltd.,Possession in 2027, 1.38 Cr - 1.42 Cr                                                             , 1.01 Cr                                                             ,1377  sqft,2310 - 2370 sqft
13,Godrej Athena,Indiranagar,Godrej Properties,Possession in 2027, 1.36 Cr                                                             , 66 Lac - 66.4 Lac                                                             ,990  sqft,1846  sqft
14,Shriram Esquire,Koramangala,Shriram Properties,Possession in 2027,,,,
15,Nivara Viento,Doddaballapur Main Road,Nivara Group,Possession in 2024,,,,
16,Icon Iconest 7,Bommasandra,ICON Infra Shelters Pvt. Ltd.,Possession in 2025,,,,
17,Casagrand Zaiden,Uttarahalli Manavarthekaval,Casagrand Builder Pvt. Ltd.,Possession in 2025,,,,
18,Sapthagiri Sandalwoods,Kadugodi,Sapthagiri Shelters,Possession in 2024,,,,
19,Godrej Elevate,Whitefield,Godrej Properties,Possession in 2027,,,,
